X,Species,Family,Order,Habitat.tiering,Motility,Feeding.mode,Mode.of.life,Ecology.reference,iucn,risk
1,Acrobates pygmaeus,Acrobatidae,Diprotodontia,2,6,1,261,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
2,Cercartetus caudatus,Burramyidae,Diprotodontia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
3,Cercartetus concinnus,Burramyidae,Diprotodontia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
4,Cercartetus lepidus,Burramyidae,Diprotodontia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
5,Rhyncholestes raphanurus,Caenolestidae,Paucituberculata,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
7,Callithrix flaviceps,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Beacham W., Beetz KH. 1998. Beacham's guide to international endangered species. Beacham Publishing Group. Osprey, Florida., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",CR,1
8,Callithrix geoffroyi,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
10,Callithrix jacchus,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
11,Callithrix kuhlii,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",VU,1
12,Callithrix penicillata,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
14,Leontopithecus chrysopygus,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Beacham W., Beetz KH. 1998. Beacham's guide to international endangered species. Beacham Publishing Group. Osprey, Florida.",EN,1
15,Saguinus oedipus,Callitrichidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Beacham W., Beetz KH. 1998. Beacham's guide to international endangered species. Beacham Publishing Group. Osprey, Florida.",CR,1
17,Cebus albifrons,Cebidae,Primates,2,2,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Hare T., Lambert M. 1997. Encyclopedia of Mammals, Volumes 1-16. Marshall Cavendish Corporatio. New York, USA.",LC,0
21,Saimiri boliviensis,Cebidae,Primates,2,3,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Hare T., Lambert M. 1997. Encyclopedia of Mammals, Volumes 1-16. Marshall Cavendish Corporatio. New York, USA.",LC,0
22,Saimiri sciureus,Cebidae,Primates,2,3,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Hare T., Lambert M. 1997. Encyclopedia of Mammals, Volumes 1-16. Marshall Cavendish Corporatio. New York, USA.",LC,0
23,Saimiri ustus,Cebidae,Primates,2,3,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Hare T., Lambert M. 1997. Encyclopedia of Mammals, Volumes 1-16. Marshall Cavendish Corporatio. New York, USA.",NT,0
24,Saimiri vanzolinii,Cebidae,Primates,2,3,1,221,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Hare T., Lambert M. 1997. Encyclopedia of Mammals, Volumes 1-16. Marshall Cavendish Corporatio. New York, USA.",VU,1
25,Allocebus trichotis,Cheirogaleidae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Beacham W., Beetz KH. 1998. Beacham's guide to international endangered species. Beacham Publishing Group. Osprey, Florida.",EN,1
26,Craseonycteris thonglongyai,Craseonycteridae,Chiroptera,2,6,1,261,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
27,Murexia longicaudata,Dasyuridae,Dasyuromorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
28,Murexia rothschildi,Dasyuridae,Dasyuromorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",NT,0
30,Phascogale tapoatafa,Dasyuridae,Dasyuromorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
31,Daubentonia madagascariensis,Daubentoniidae,Primates,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",EN,1
33,Caluromysiops irrupta,Didelphidae,Didelphimorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
34,Glironia venusta,Didelphidae,Didelphimorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
35,Gracilinanus marica,Didelphidae,Didelphimorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA",LC,0
38,Marmosa lepida,Didelphidae,Didelphimorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
39,Marmosa mexicana,Didelphidae,Didelphimorphia,2,1,1,211,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA",LC,0
