glottocode,name,isocodes,level,macroarea,latitude,longitude,Family_ID,Family_name
3adt1234,3Ad-Tekles,,dialect,Africa,,,afro1255,Afro-Asiatic
aala1237,Aalawa,,dialect,Papunesia,,,aust1307,Austronesian
aant1238,Aantantara,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
aari1239,Aari,aiw,language,Africa,5.95034,36.5721,sout2845,South Omotic
aari1240,Aariya,aay,language,Eurasia,,,book1242,Bookkeeping
aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,afro1255,Afro-Asiatic
aasd1234,Aasdring,,dialect,Eurasia,,,indo1319,Indo-European
aata1238,Aatasaara,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
abab1239,Ababda,,dialect,Africa,,,afro1255,Afro-Asiatic
abad1243,Abadani,,dialect,Eurasia,,,indo1319,Indo-European
abad1242,Abadei,,dialect,Eurasia,,,indo1319,Indo-European
abad1241,Abadi,kbt,language,Papunesia,-9.03389,146.992,aust1307,Austronesian
abad1240,Abadzex,,dialect,Eurasia,,,abkh1242,Abkhaz-Adyge
abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665,nucl1709,Nuclear Trans New Guinea
abai1239,Abai,,dialect,Papunesia,,,aust1307,Austronesian
abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,aust1307,Austronesian
abai1241,Abai Tubu-Abai Sembuak,,language,Papunesia,3.524226,116.162455,aust1307,Austronesian
abaj1234,Abajeño Mexican Spanish,,dialect,Eurasia,,,indo1319,Indo-European
abak1242,Abak,,dialect,Africa,,,atla1278,Atlantic-Congo
abak1243,Abaka,,dialect,Papunesia,,,aust1307,Austronesian
abal1238,Abaletti,,dialect,Papunesia,,,yele1255,Yele
abam1239,Abam,,dialect,Papunesia,,,east2503,Eastern Trans-Fly
aban1243,Abancay,,dialect,South America,,,quec1387,Quechuan
aban1242,Abanyom,abm,language,Africa,6.30619,8.63055,atla1278,Atlantic-Congo
abar1239,Abar,,dialect,Africa,,,atla1278,Atlantic-Congo
abau1245,Abau,aau,language,Papunesia,-3.97222,141.324,sepi1257,Sepik
abaw1238,,,dialect,Africa,,,,
foau1240,Abawiri,flh,language,Papunesia,-3.04582,139.213,lake1255,Lakes Plain
abay1238,Abayongo,,dialect,Africa,,,atla1278,Atlantic-Congo
abaz1241,Abaza,abq,language,Eurasia,44.25,42,abkh1242,Abkhaz-Adyge
abbe1238,Abbey-Ve,,dialect,Africa,,,atla1278,Atlantic-Congo
abbr1238,Abbruzzesi,,dialect,Eurasia,,,indo1319,Indo-European
abch1234,Abchuya'i,,dialect,Eurasia,,,indo1319,Indo-European
abda1238,'Abd Al-Kuri,,dialect,Africa,12.1959,52.2282,afro1255,Afro-Asiatic
abee1242,Abé,aba,language,Africa,5.59682,-4.38497,atla1278,Atlantic-Congo
abee1243,Abe (Anyin),,dialect,Africa,,,atla1278,Atlantic-Congo
abed1238,Abedju-Azaki,,dialect,Africa,,,cent2225,Central Sudanic
aben1248,A'beng,,dialect,Eurasia,,,sino1245,Sino-Tibetan
aben1247,Abeng,,dialect,Eurasia,,,sino1245,Sino-Tibetan
aben1249,Abenlen Ayta,abp,language,Papunesia,15.4131,120.2,aust1307,Austronesian
abgu1238,Abgue,,dialect,Africa,,,afro1255,Afro-Asiatic
abid1235,Abidji,abi,language,Africa,5.65656,-4.58421,atla1278,Atlantic-Congo
abie1238,Abiem,,dialect,Africa,,,nilo1247,Nilotic
abig1238,Abigar,,dialect,Africa,,,nilo1247,Nilotic
abil1238,Abiliang,,dialect,Africa,,,nilo1247,Nilotic
abin1242,Abini,,dialect,Africa,,,atla1278,Atlantic-Congo
abin1243,Abinomn,bsa,language,Papunesia,-2.92281,138.891,,
abip1241,Abipon,axb,language,South America,-29,-61,guai1249,Guaicuruan
abka1238,Abkar,,dialect,Africa,,,maba1274,Maban
abkh1244,Abkhaz,abk,language,Eurasia,43.056218,41.159115,abkh1242,Abkhaz-Adyge
able1237,Ableg-Salegseg,,dialect,Papunesia,,,aust1307,Austronesian
aboo1242,Abo,,dialect,Africa,,,atla1278,Atlantic-Congo
aboo1241,Abo (Bokyi),,dialect,Africa,,,atla1278,Atlantic-Congo
abom1238,Abom,aob,language,Papunesia,-8.42448,142.842,anim1240,Anim
abon1238,Abon,abo,language,Africa,6.90621,10.8769,atla1278,Atlantic-Congo
abou1238,Abou Charib,,dialect,Africa,,,tama1329,Tamaic
abra1237,Abra-De-Ilog,,dialect,Papunesia,,,aust1307,Austronesian
abro1238,Abron,abr,language,Africa,7.72094,-2.50289,atla1278,Atlantic-Congo
abru1239,Abruzzese-Calabrian-Molisean Romani,,dialect,Eurasia,,,indo1319,Indo-European
absh1238,Absheron,,dialect,Eurasia,,,indo1319,Indo-European
abuu1241,Abu,ado,language,Papunesia,-4.24027,144.474,ramu1234,Ramu
abua1244,Abua,abn,language,Africa,4.83057,6.61492,atla1278,Atlantic-Congo
abua1245,Abu' Arapesh,aah,language,Papunesia,-3.461612,142.917031,nucl1708,Nuclear Torricelli
abui1241,Abui,abz,language,Papunesia,-8.31058,124.588,timo1261,Timor-Alor-Pantar
abuj1237,Abujmaria,,dialect,Eurasia,,,drav1251,Dravidian
abul1238,Abuldugu,,dialect,Africa,,,nilo1247,Nilotic
abun1252,Abun,kgr,language,Papunesia,-0.57073,132.416,,
abun1253,Abun Je,,dialect,Papunesia,,,abun1252,Abun
abun1255,Abun Ji,,dialect,Papunesia,,,abun1252,Abun
abun1254,Abun Tat,,dialect,Papunesia,,,abun1252,Abun
abur1243,Abure,abu,language,Africa,5.21534,-3.64123,atla1278,Atlantic-Congo
abur1244,Abureni,mgj,language,Africa,4.62301,6.50634,atla1278,Atlantic-Congo
abus1238,Abu Sinun,,dialect,Africa,,,kadu1256,Kadugli-Krongo
abuz1234,Abuzaydabadi,,dialect,Eurasia,,,indo1319,Indo-European
abya1234,Abyane'i,,dialect,Eurasia,,,indo1319,Indo-European
abzh1238,Abzhui,,dialect,Eurasia,,,abkh1242,Abkhaz-Adyge
acad1238,Acadian,,dialect,Eurasia,,,indo1319,Indo-European
acat1240,Acatepec,,dialect,North America,,,otom1299,Otomanguean
